#mu fE fE_homo Volume Area
4.4 -10074.5 -10509.8 10617 730.434
4.425 -10149 -10509.8 10617 730.434
4.45 -10223.7 -10509.8 10617 730.434
4.475 -10298.6 -10509.8 10617 730.434
4.5 -10373.6 -10509.8 10617 730.434
4.525 -10448.8 -10509.8 10617 730.434
4.55 -10524.2 -10509.8 10617 730.434
4.575 -10599.7 -10509.8 10617 730.434
4.6 -10675.3 -10509.8 10617 730.434
4.625 -10751.1 -10509.8 10617 730.434
4.65 -10827.1 -10509.8 10617 730.434
4.675 -10903.2 -10509.8 10617 730.434
4.7 -10979.3 -10509.8 10617 730.434
4.725 -11055.6 -10509.8 10617 730.434
4.75 -11131.8 -10509.8 10617 730.434
4.775 -11208 -10509.8 10617 730.434
4.8 -11283.9 -10509.8 10617 730.434
4.825 -11358.8 -10509.8 10617 730.434
4.85 -11430.1 -10509.8 10617 730.434
4.875 -11512.1 -10509.8 10617 730.434
